spectrum_type,replicate,pr,pr_fraction,mk_tau,loglinear_r2,loglinear_slope,passes_c1,passes_c2,passes_c3,is_hyperribbon
equal_variance,3,9.981648528546641,0.998164852854664,-1.0,0.9430463674531694,-0.014318735521446293,True,True,False,False
equal_variance,4,9.982764373352698,0.9982764373352697,-1.0,0.987684132426972,-0.014368051140134867,True,True,False,False
equal_variance,5,9.978768274754383,0.9978768274754384,-1.0,0.9898993187729288,-0.015931937994237793,True,True,False,False
equal_variance,6,9.981023770913104,0.9981023770913104,-1.0,0.986014922693821,-0.015138209214968562,True,True,False,False
equal_variance,7,9.980268781535177,0.9980268781535176,-1.0,0.9717087406085665,-0.015355089603834578,True,True,False,False
equal_variance,8,9.983978657304222,0.9983978657304222,-1.0,0.9761115136866206,-0.013777841176843757,True,True,False,False
equal_variance,9,9.981306258479279,0.9981306258479279,-1.0,0.9896705084060617,-0.014971340690329724,True,True,False,False
equal_variance,10,9.981999288600765,0.9981999288600765,-1.0,0.9890227948079111,-0.014714743940261158,True,True,False,False
equal_variance,11,9.978457155948426,0.9978457155948426,-1.0,0.9513363306839758,-0.015776832300414084,True,True,False,False
equal_variance,12,9.988446749692425,0.9988446749692426,-1.0,0.948310201797829,-0.011617367667246546,True,True,False,False
equal_variance,13,9.98142377475022,0.9981423774750221,-1.0,0.9857466119855393,-0.014887881756321985,True,True,False,False
equal_variance,14,9.981974963810877,0.9981974963810878,-1.0,0.9780244944218602,-0.014627352027926265,True,True,False,False
equal_variance,15,9.978588126363707,0.9978588126363708,-1.0,0.9761918449220115,-0.015849957145798396,True,True,False,False
equal_variance,16,9.973688805171227,0.9973688805171227,-1.0,0.9709166916810105,-0.017656453972406512,True,True,False,False
equal_variance,17,9.988142661093661,0.9988142661093662,-1.0,0.9686933941100663,-0.011844208816993784,True,True,False,False
equal_variance,18,9.979375039496071,0.9979375039496071,-1.0,0.9783237364384466,-0.0156984812154447,True,True,False,False
equal_variance,19,9.98312852352301,0.998312852352301,-1.0,0.9728636798583126,-0.014176770547785619,True,True,False,False
